,Word,Count
962,pointe,3
963,suburb,15
964,metropolis,23
965,lie,142
966,shore,52
967,lake,328
968,clair,4
969,tornado,14
970,centered,11
971,struck,27
972,ontario,22
973,pennsylvania,73
974,como,2
975,montana,50
976,contributed,6
977,generously,2
978,battle,298
979,summer,90
980,rather,65
981,sallier,1
982,louisianan,2
983,settler,18
984,provo,6
985,east,151
986,share,133
987,located,73
988,canonized,8
989,pole,54
990,faustina,1
991,kowalska,1
992,pled,3
993,guilty,25
994,mishandling,2
995,nuclear,55
996,secret,87
997,nobel,93
998,prize,173
999,republican,51
1000,nomination,48
1001,gave,279
1002,birth,80
1003,dylan,17
1004,library,98
1005,national,474
1006,registry,6
1007,bo,9
1008,derek,5
1009,spanish,223
1010,triple,38
1011,charon,3
1012,styx,3
1013,scaphoid,2
1014,scapula,2
1015,shakespeare,109
1016,henry,167
1017,iv,35
1018,mistress,19
1019,quickly,25
1020,hostess,9
1021,unit,133
1022,currency,53
1023,venezuela,14
1024,candle,30
1025,fat,50
1026,nonglycerine,1
1027,substance,70
1028,barely,14
1029,connected,23
1030,solid,39
1031,white,390
1032,precede,36
1033,oil,98
1034,offered,37
1035,type,1391
1036,cord,16
1037,impregnated,1
1038,inorganic,1
1039,salt,39
1040,solution,33
1041,dried,21
1042,prior,26
1043,molding,3
1044,post,108
1045,beside,13
1046,stained,7
1047,glass,100
1048,window,57
1049,petts,1
1050,illustrated,12
1051,poem,208
1052,designed,117
1053,gift,60
1054,street,201
1055,baptist,13
1056,angelus,1
1057,temple,75
1058,completed,58
1059,giant,139
1060,spaceship,5
1061,cathedral,46
1062,washington,185
1063,officially,48
1064,two,226
1065,saint,84
1066,byzantine,7
1067,istanbul,7
1068,holy,86
1069,wisdom,20
1070,boston,90
1071,landmark,94
1072,contains,79
1073,enchantress,5
1074,odysseus,12
1075,fantasy,28
1076,healing,9
1077,veneration,5
1078,last,630
1079,lyricist,3
1080,worked,63
1081,andrew,59
1082,lloyd,16
1083,webber,4
1084,annoyance,5
1085,ire,1
1086,crikey,3
1087,quite,69
1088,career,67
1089,unconventional,4
1090,crocodile,17
1091,unique,27
1092,reptile,33
1093,organ,82
1094,rare,34
1095,naturally,47
1096,sobek,2
1097,depicted,60
1098,wearing,43
1099,headdress,4
1100,freshwater,13
1101,india,101
1102,thief,33
1103,robs,1
1104,someone,218
1105,public,125
1106,place,407
1107,elton,10
1108,got,633
1109,holding,53
1110,tear,30
1111,apt,5
1112,shoot,35
1113,empty,25
1114,johnny,67
1115,tribute,38
1116,slain,13
1117,wind,119
1118,honored,45
1119,princess,63
1120,diana,19
1121,original,169
1122,signed,62
1123,sealed,8
1124,delivered,27
1125,harmonica,1
1126,solo,42
1127,guess,23
1128,call,284
1129,beowulf,8
1130,grendel,1
1131,wiglaf,1
1132,miserables,7
1133,fantine,5
1134,cosette,4
1135,valjean,2
1136,flew,50
1137,cuckoo,5
1138,nest,35
1139,randle,3
1140,mcmurphy,3
1141,bromden,1
1142,billy,71
1143,bibbit,1
1144,othello,12
1145,iago,4
1146,desdemona,5
1147,iliad,8
1148,hector,5
1149,agamemnon,5
1150,patroclus,1
1151,fort,89
1152,dix,2
1153,district,49
1154,repped,1
1155,chris,46
1156,smith,77
1157,elected,67
1158,gordon,26
1159,ron,21
1160,wyden,1
1161,replace,20
1162,bob,86
1163,packwood,1
1164,serve,58
1165,together,141
1166,comal,1
1167,hay,9
1168,travis,6
1169,county,166
1170,lamar,4
1171,represented,46
1172,certain,103
1173,economist,15
1174,french,575
1175,key,84
1176,putting,34
1177,woman,668
1178,court,219
1179,biography,46
1180,quiet,23
1181,ohioan,3
1182,would,350
1183,touch,54
1184,space,185
1185,antenna,5
1186,ross,22
1187,fix,16
1188,apollo,35
1189,astronaut,20
1190,borman,1
1191,lovell,4
1192,anders,1
1193,circuit,17
1194,soyuz,2
1195,carried,51
1196,hispanic,4
1197,arnaldo,1
1198,binnie,1
1199,melvill,1
1200,piloted,1
1201,spaceshipone,1
1202,flight,88
1203,captured,50
1204,alphabetic,3
1205,million,354
1206,colt,6
1207,fg,1
1208,super,71
1209,bowl,81
1210,v,62
1211,chuck,23
1212,howley,1
1213,became,614
1214,mvp,27
1215,losing,30
1216,xxi,1
1217,phil,31
1218,simms,2
1219,came,277
1220,completing,7
1221,pass,24
1222,xxxiii,1
1223,bronco,7
1224,bart,7
1225,starr,6
1226,steelers,4
1227,wide,59
1228,receiver,6
1229,need,200
1230,xl,1
1231,germany,87
1232,rennsteig,1
1233,meander,1
1234,thuringer,1
1235,wald,5
1236,thuringian,1
1237,mountain,282
1238,forbidding,1
1239,try,130
1240,hiking,11
1241,famed,27
1242,engadine,1
1243,path,31
1244,designated,32
1245,trail,69
1246,bear,141
1247,park,292
1248,otter,2
1249,western,144
1250,province,99
1251,booked,3
1252,ahead,25
1253,good,448
1254,stop,128
1255,mountainous,7
1256,chihuahua,5
1257,pacifico,1
1258,train,81
1259,hydroelectric,3
1260,plant,200
1261,del,40
1262,harder,8
1263,auto,35
1264,coined,50
1265,automation,2
1266,describe,43
1267,engine,66
1268,assembled,8
1269,well,265
1270,fargo,3
1271,bank,115
1272,whose,382
1273,customer,23
1274,could,360
1275,securely,1
1276,view,104
1277,put,274
1278,pulped,1
1279,cellulose,2
1280,fiber,34
1281,mixed,33
1282,filler,4
1283,fourdrinier,1
1284,scholz,1
1285,invented,83
1286,amplifier,1
1287,walkman,2
1288,fought,48
1289,neither,22
1290,decisive,9
1291,thing,268
1292,fleet,36
1293,warship,15
1294,estate,38
1295,plantation,23
1296,alphabet,31
1297,follows,92
1298,kappa,5
1299,concluding,2
1300,passage,34
1301,musical,235
1302,onion,39
1303,triangle,26
1304,television,21
1305,brought,92
1306,belongs,14
1307,length,46
1308,directly,28
1309,endurance,4
1310,anatomy,14
1311,audience,21
1312,member,284
1313,hitch,2
1314,assessment,1
1315,comedy,169
1316,hitchcock,14
1317,never,214
1318,cattle,26
1319,treated,12
1320,color,264
1321,hair,110
1322,victim,33
1323,virgin,35
1324,snow,57
1325,show,1156
1326,footprint,9
1327,present,202
1328,winterthur,7
1329,delaware,24
1330,contrasting,3
1331,elaborate,12
1332,believed,42
1333,crafting,2
1334,prayer,38
1335,simply,36
1336,functional,2
1337,distressed,2
1338,furnishing,2
1339,reached,60
1340,built,217
1341,redecorate,1
1342,especially,67
1343,green,182
1344,later,321
1345,wrote,558
1346,everything,51
1347,lovely,20
1348,contribution,9
1349,countryside,2
1350,prominent,22
1351,industrial,11
1352,spent,43
1353,decade,75
1354,collecting,9
1355,mansion,32
1356,owner,45
1357,showed,53
1358,meant,54
1359,business,118
1360,paid,48
1361,high,278
1362,chest,32
1363,philadelphia,52
1364,rococo,2
1365,outbidding,1
1366,controversial,35
1367,dining,15
1368,theme,91
1369,federal,71
1370,tankard,2
1371,patriot,31
1372,silversmith,3
1373,ball,136
1374,palace,81
1375,enchanted,3
1376,scene,97
1377,desert,119
1378,jail,32
1379,corral,3
1380,burnt,6
1381,ranch,28
1382,prince,134
1383,siegfried,2
1384,castle,59
1385,lakeside,2
1386,dialect,27
1387,japanese,106
1388,spoken,51
1389,osaka,3
1390,kyoto,4
1391,braj,1
1392,bhasha,1
1393,literary,56
1394,language,208
1395,dante,17
1396,divine,20
1397,florentine,6
1398,switzerland,40
1399,another,271
1400,yooper,1
1401,primarily,24
1402,upper,50
1403,peninsula,102
1404,louisiana,41
1405,vermont,27
1406,missouri,51
1407,minnesota,37
1408,nevada,37
1409,nebraska,31
1410,wyoming,27
1411,oklahoma,39
1412,utah,36
1413,arizona,69
1414,west,292
1415,virginia,111
1416,north,346
1417,carolina,90
1418,flaw,4
1419,opposing,10
1420,side,212
1421,eminent,5
1422,staging,4
1423,enjoyable,1
1424,activity,72
1425,refreshes,1
1426,stitch,8
1427,clothing,48
1428,channel,75
1429,yucky,2
1430,breeze,10
1431,tighten,2
1432,spring,105
1433,clock,39
1434,setting,46
1435,fortress,13
1436,marseille,1
1437,housed,18
1438,thousand,68
1439,huguenot,4
1440,henri,9
1441,charriere,2
1442,aka,195
1443,papillon,3
1444,escaping,5
1445,coconut,12
1446,raft,8
1447,convict,11
1448,sent,76
1449,cockatoo,2
1450,correctional,2
1451,facility,62
1452,consists,36
1453,faulkner,14
1454,pair,122
1455,herman,19
1456,wouk,3
1457,miniseries,23
1458,trojan,13
1459,unfaithful,6
1460,gal,29
1461,lewis,56
1462,carroll,13
1463,pinniped,3
1464,woodworker,1
1465,turgenev,2
1466,nikolai,2
1467,kirsanov,1
1468,gin,22
1469,tonic,3
1470,cocktail,37
1471,tall,68
1472,black,309
1473,bush,44
1474,special,110
1475,blend,14
1476,irish,89
1477,whiskey,32
1478,sense,54
1479,creme,6
1480,liqueur,22
1481,flavored,14
1482,mainly,45
1483,fruit,150
1484,banana,30
1485,guyana,2
1486,demerara,1
1487,distiller,1
1488,el,44
1489,dorado,3
1490,brand,297
1491,potent,11
1492,potable,9
1493,prepare,24
1494,brave,17
1495,pour,7
1496,tequila,17
1497,veracruz,4
1498,mexico,149
1499,enters,15
1500,fashion,68
1501,design,99
1502,reality,41
1503,competition,53
1504,eubanks,2
1505,beheaded,4
1506,asking,18
1507,recently,42
1508,edmure,1
1509,tully,1
1510,roslin,3
1511,frey,6
1512,whoopee,3
1513,preference,4
1514,pritchetts,1
1515,dunphys,1
1516,cold,86
1517,hard,91
1518,cash,39
1519,richard,114
1520,dawson,6
1521,kissing,7
1522,lady,207
1523,fisher,14
1524,burial,14
1525,biz,12
1526,trapped,10
1527,oppressive,3
1528,bubble,20
1529,selleck,4
1530,ferrari,3
1531,garage,10
1532,rome,102
1533,born,338
1534,led,220
1535,revolt,12
1536,killed,136
1537,hanged,18
1538,civil,135
1539,general,246
1540,winfield,5
1541,scott,92
1542,virginian,7
1543,greatest,74
1544,genius,21
1545,billing,6
1546,exploration,8
1547,joined,73
1548,militia,8
1549,suppress,4
1550,rebellion,28
1551,command,45
1552,notable,13
1553,fired,30
1554,shot,122
1555,chesty,1
1556,puller,1
1557,earned,64
1558,medal,78
1559,service,163
1560,protege,3
1561,oscar,216
1562,hammerstein,8
1563,grammys,15
1564,pulitzer,70
1565,tony,83
1566,publication,18
1567,travel,81
1568,almanzo,3
1569,smet,1
1570,story,395
1571,relates,5
1572,ike,5
1573,mccaslin,1
1574,companion,18
1575,hunt,46
1576,ben,77
1577,chapter,63
1578,moby,3
1579,dick,29
1580,tucked,4
1581,carpetbag,1
1582,arm,151
1583,pacific,135
1584,vincent,18
1585,benet,1
1586,devil,57
1587,scratch,8
1588,collect,17
1589,debt,28
1590,plot,28
1591,dubose,2
1592,heyward,2
1593,porgy,10
1594,meet,111
1595,loses,23
1596,sarah,425
1597,delivers,238
1598,costa,12
1599,rica,3
1600,orchid,5
1601,fertilized,2
1602,specie,153
1603,bee,22
1604,luckily,10
1605,nature,54
1606,manages,3
1607,done,94
1608,producing,21
1609,flavorful,1
1610,bean,39
1611,ice,130
1612,cream,74
1613,baking,11
1614,mountaineer,4
1615,hydrangea,1
1616,anomala,1
1617,cling,3
1618,brickwork,2
1619,aerial,9
1620,rootlet,1
1621,dutch,74
1622,botanist,11
1623,hugo,17
1624,vries,1
1625,proposed,19
1626,theory,82
1627,alteration,5
1628,gene,30
1629,tubular,9
1630,leaf,98
1631,carnivorous,6
1632,give,460
1633,container,30
1634,pouring,8
1635,liquid,80
1636,silent,37
1637,turpin,3
1638,policy,44
1639,paying,10
1640,reported,41
1641,happened,40
1642,shoulder,39
1643,steeler,2
1644,professional,39
1645,coffee,55
1646,taster,1
1647,gennaro,1
1648,pelliccia,1
1649,insured,2
1650,rumor,7
1651,simmons,11
1652,leg,89
1653,covered,70
1654,tune,90
1655,singer,229
1656,agent,71
1657,insure,3
1658,voice,115
1659,fish,163
1660,inflates,2
1661,thickly,1
1662,insulated,2
1663,flattering,4
1664,winter,97
1665,coat,58
1666,varsity,1
1667,jacket,33
1668,vowel,20
1669,consonant,4
1670,representing,26
1671,complete,59
1672,pouch,7
1673,amauti,1
1674,parka,3
1675,narrator,19
1676,fitzgerald,22
1677,wear,83
1678,fur,33
1679,trademark,20
1680,raincoat,2
1681,perfect,69
1682,weather,48
1683,condition,86
1684,opening,72
1685,gulping,1
1686,drink,130
1687,cracker,11
1688,barrel,23
1689,promise,30
1690,simple,51
1691,rural,13
1692,cooking,41
1693,zone,50
1694,lower,76
1695,gear,13
1696,torrential,2
1697,rain,61
1698,awarded,32
1699,published,173
1700,writer,120
1701,taste,46
1702,testing,13
1703,chocolate,55
1704,cadbury,1
1705,inspired,168
1706,famous,252
1707,livingstone,4
1708,wale,27
1709,rowlands,2
1710,much,209
1711,feast,28
1712,carillon,3
1713,specially,7
1714,composed,50
1715,mozart,24
1716,highlighted,5
1717,indicated,12
1718,claim,63
1719,sinbad,2
1720,sailor,45
1721,archipelago,21
1722,luzon,5
1723,philippine,27
1724,sumatra,4
1725,indonesia,11
1726,pretty,55
1727,location,46
1728,filling,15
1729,slogan,51
1730,please,42
1731,squeeze,9
1732,product,162
1733,computer,118
1734,company,483
1735,working,78
1736,smarter,2
1737,planet,122
1738,laundry,12
1739,detergent,4
1740,marketed,6
1741,ocean,110
1742,suds,2
1743,appropriately,48
1744,pizza,34
1745,whorehouse,1
1746,masala,1
1747,weepie,2
1748,winona,4
1749,ryder,8
1750,autumn,10
1751,neil,45
1752,simon,51
1753,suite,30
1754,starring,82
1755,melanie,10
1756,griffith,11
1757,crazy,46
1758,alex,92
1759,camera,45
1760,imitation,9
1761,interesting,6
1762,ad,75
1763,milk,60
1764,prefer,16
1765,fewer,19
1766,pathogen,3
1767,stay,74
1768,thirsty,6
1769,every,165
1770,denny,5
1771,lyric,35
1772,chance,39
1773,birthdate,2
