full_name,final_score,occupation,city,state,state_id,archive_info,date,dt_indx,winner_flg
Sebastian Davis,12000,an independent filmmaker,Los Angeles,California,CA,J! Archive - Show #7568,7/5/17,2,0
Emily Campbell,2001,a social media producer,Los Angeles,California,CA,J! Archive - Show #7566,7/3/17,3,0
Daniel Okamura,1,a lecturer,Los Angeles,California,CA,J! Archive - Show #7537,5/23/17,2,0
Eric Matheis,13200,a lecturer,New York,New York,NY,J! Archive - Show #7130,9/18/15,2,0
Wilbur Farley,1999,a lecturer,Patchogue,New York,NY,J! Archive - Show #7637,11/21/17,3,0
Sean Dennison,0,a graduate student and teacher,Los Angeles,California,CA,J! Archive - Show #7459,2/2/17,3,0
Nate Ross,17598,a systems engineer,Los Angeles,California,CA,J! Archive - Show #7376,10/10/16,1,0
Nate Ross,19300,a systems engineer,Los Angeles,California,CA,J! Archive - Show #7375,10/7/16,2,1
Courtney Paulson,1300,a graduate assistant,Los Angeles,California,CA,J! Archive - Show #7356,9/12/16,1,0
Courtney Paulson,11700,a graduate assistant,Los Angeles,California,CA,J! Archive - Show #7355,7/29/16,3,1
Paul Hoan Zeidler,7300,a writer and director,Los Angeles,California,CA,J! Archive - Show #7252,3/8/16,2,0
Ted Dorsey,7385,an author and educator,Los Angeles,California,CA,J! Archive - Show #7249,3/3/16,2,0
Michael Bilow,0,a Ph. D. student in computer science,Los Angeles,California,CA,J! Archive - Show #7170,11/13/15,3,0
Christine Gengaro,0,a college professor and writer,Los Angeles,California,CA,J! Archive - Show #7147,10/13/15,3,1
Elicia Woerle,3600,an interior architectural design student,Los Angeles,California,CA,J! Archive - Show #7145,10/9/15,3,1
Erik Latshaw,19100,a cellar hand,Los Angeles,California,CA,J! Archive - Show #7144,10/8/15,2,1
John Hendel,8399,a playwright,Los Angeles,California,CA,J! Archive - Show #7113,7/15/15,2,0
Sally Wright,19300,an antiques dealer,Los Angeles,California,CA,J! Archive - Show #7086,6/8/15,2,0
Pete Miranti,10500,a finance manager,Los Angeles,California,CA,J! Archive - Show #7083,6/3/15,2,0
Jayanthi Martins,0,a finance manager,Austin,Texas,TX,J! Archive - Show #7611,10/16/17,3,0
Todd Grabarsky,799,a lawyer,Los Angeles,California,CA,J! Archive - Show #7072,5/19/15,2,1
Rebecca Harlow,5600,a lawyer,San Francisco,California,CA,J! Archive - Show #7244,2/25/16,2,0
Brendan McParland,0,a lawyer,Rockville,Maryland,MD,J! Archive - Show #6912,10/7/14,2,0
Bala Kumar,11388,a lawyer,Pittsburgh,Pennsylvania,PA,J! Archive - Show #7550,6/9/17,1,0
Bala Kumar,9999,a lawyer,Pittsburgh,Pennsylvania,PA,J! Archive - Show #7549,6/8/17,1,1
Bala Kumar,33000,a lawyer,Pittsburgh,Pennsylvania,PA,J! Archive - Show #7548,6/7/17,2,1
Eric Eifrig,1599,a lawyer,Cincinnati,Ohio,OH,J! Archive - Show #7943,3/6/19,2,0
Andrew King,26000,a lawyer,Little Rock,Arkansas,AR,J! Archive - Show #7793,6/27/18,1,0
Andrew King,1198,a lawyer,Little Rock,Arkansas,AR,J! Archive - Show #7792,6/26/18,3,1
Abby Roughton,10,a lawyer,Boston,Massachusetts,MA,J! Archive - Show #7868,11/21/18,3,0
David Rosen,19400,a lawyer,Syosset,New York,NY,J! Archive - Show #7677,1/16/18,3,0
Diana Zinser,14400,a lawyer,Berwyn,Pennsylvania,PA,J! Archive - Show #7009,2/19/15,3,1
Beverly Garcia,0,a lawyer,Quincy,Massachusetts,MA,J! Archive - Show #6874,7/3/14,3,0
Eric Simmonds,5999,an executive assistant,Los Angeles,California,CA,J! Archive - Show #7041,4/6/15,3,0
Barbara Gooby,13600,an executive assistant,Savannah,Georgia,GA,J! Archive - Show #7830,9/28/18,3,1
Stephanie Hubley,19201,an executive assistant,Burien,Washington,WA,J! Archive - Show #7408,11/23/16,1,0
Cate Hollenbeck,6399,a trust officer,Los Angeles,California,CA,J! Archive - Show #6995,1/30/15,3,0
Sam Sukaton,2000,a community organizer,Los Angeles,California,CA,J! Archive - Show #6950,11/28/14,2,0
Ari Voukydis,6100,a comedy writer,Los Angeles,California,CA,J! Archive - Show #6869,6/26/14,2,0
Maggie Byrd,7000,a communications professional,Arlington,Virginia,VA,J! Archive - Show #7897,1/1/19,2,0
Kathryn Tesar,600,a communications professional,Austin,Texas,TX,J! Archive - Show #7089,6/11/15,3,0
Heather Hurley,2,a civil servant,Arlington,Virginia,VA,J! Archive - Show #7562,6/27/17,2,0
Molly Thacker,1800,a doctoral student,Arlington,Virginia,VA,J! Archive - Show #7430,12/23/16,2,0
Kris Voss,4200,a doctoral student,Durham,North Carolina,NC,J! Archive - Show #6821,4/21/14,3,0
Damien Shirley,1,a digital consultant,Arlington,Virginia,VA,J! Archive - Show #7369,9/29/16,2,0
Matthew LaMagna,7800,a digital consultant,Arlington,Virginia,VA,J! Archive - Show #6926,10/27/14,1,0
Matthew LaMagna,16000,a digital consultant,Arlington,Virginia,VA,J! Archive - Show #6925,10/24/14,1,1
Matthew LaMagna,17800,a digital consultant,Arlington,Virginia,VA,J! Archive - Show #6924,10/23/14,3,1
Ted Reinhold,1200,a transportation planner,Arlington,Virginia,VA,J! Archive - Show #7308,5/25/16,2,0
Brian Roberts,5001,an economist,Arlington,Virginia,VA,J! Archive - Show #7307,5/24/16,2,0
Ani Gupta,799,an economist,Berkeley,California,CA,J! Archive - Show #7512,4/18/17,3,0
Elsa Angrist,4200,a retired computer consultant,Arlington,Virginia,VA,J! Archive - Show #7104,7/2/15,2,0
Ben Hom,9600,a defense consultant and Navy Reserve officer,Arlington,Virginia,VA,J! Archive - Show #7073,5/20/15,3,1
Nathan Tsoi,100,a program analyst,Arlington,Virginia,VA,J! Archive - Show #6978,1/7/15,3,0
Dan Eling,23598,a naval architect,Arlington,Virginia,VA,J! Archive - Show #6972,12/30/14,3,0
Nancy Akerman,2400,a science policy fellow,Arlington,Virginia,VA,J! Archive - Show #6803,3/26/14,1,0
Nancy Akerman,11201,a science policy fellow,Arlington,Virginia,VA,J! Archive - Show #6802,3/25/14,1,1
Nancy Akerman,2799,a science policy fellow,Arlington,Virginia,VA,J! Archive - Show #6801,3/24/14,2,1
Semret Lemma,22000,an MBA student,Arlington,Virginia,VA,J! Archive - Show #6785,2/28/14,2,0
Josh Archibald-Seiffer,10200,a music director and pianist,Seattle,Washington,WA,J! Archive - Show #7984,5/2/19,3,0
Libby Wood,1999,a marketing writer,Seattle,Washington,WA,J! Archive - Show #7982,4/30/19,3,0
Malavika Jagannathan,15200,a marketing writer,Seattle,Washington,WA,J! Archive - Show #7317,6/7/16,2,0
Matthew Amster-Burton,12000,a podcast host,Seattle,Washington,WA,J! Archive - Show #7966,4/8/19,3,0
Nicole Neroulias Gupte,18000,a nonprofit communications consultant,Seattle,Washington,WA,J! Archive - Show #7891,12/24/18,2,0
Andy Greeley,15999,an elections administrator,Seattle,Washington,WA,J! Archive - Show #7883,12/12/18,2,1
Myra Guideng,0,a wine club concierge,Seattle,Washington,WA,J! Archive - Show #7872,11/27/18,3,0
