,Word,Count
1222,induction,3
1223,dilation,3
1224,hour,10
1225,epidural,2
1226,braxton,1
1227,hick,2
1228,wellesley,3
1229,wake,10
1230,northeastern,1
1231,berklee,1
1232,bell,39
1233,desdemona,4
1234,jennings,7
1235,bryan,7
1236,sacramento,10
1237,levi,3
1238,strauss,8
1239,tom,61
1240,coughlin,1
1241,sexual,3
1242,harassment,1
1243,room,13
1244,principal,3
1245,mayim,2
1246,bialik,2
1247,america,46
1248,ferrera,1
1249,ed,15
1250,brolin,2
1251,martha,9
1252,plimpton,1
1253,seven,37
1254,obelisk,6
1255,roughy,2
1256,oblique,2
1257,omertà,1
1258,origami,5
1259,coffee,17
1260,jujitsu,2
1261,declared,1
1262,germany,22
1263,piranha,5
1264,catholicism,11
1265,gravy,3
1266,sue,10
1267,aka,2
1268,visor,1
1269,guar,1
1270,toggle,1
1271,diane,13
1272,von,19
1273,furstenberg,4
1274,henley,3
1275,kimono,3
1276,lace,3
1277,typewriter,3
1278,gail,1
1279,borden,3
1280,clip,1
1281,electric,8
1282,toothbrush,1
1283,cataract,6
1284,ammonia,5
1285,bear,49
1286,grease,8
1287,trap,8
1288,speed,9
1289,mousetrap,4
1290,janis,5
1291,joplin,9
1292,big,73
1293,kurt,10
1294,cobain,3
1295,amy,19
1296,winehouse,4
1297,los,17
1298,angeles,15
1299,pawnee,1
1300,atlanta,23
1301,beak,1
1302,market,8
1303,ink,5
1304,ten,9
1305,cartilage,1
1306,lincoln,43
1307,potato,21
1308,ocean,26
1309,hampshire,15
1310,swedish,4
1311,bacchus,6
1312,luther,35
1313,mary,85
1314,tudor,10
1315,capuchin,2
1316,shelley,17
1317,pack,5
1318,breathing,2
1319,lesson,2
1320,foster,13
1321,wallace,18
1322,harry,38
1323,truman,24
1324,european,6
1325,theater,6
1326,operation,4
1327,ear,17
1328,nose,13
1329,throat,8
1330,extrasensory,1
1331,perception,1
1332,sacagawea,5
1333,manifest,1
1334,destiny,2
1335,alaska,36
1336,dred,5
1337,turnbuckle,1
1338,grandstand,1
1339,carpetbagger,2
1340,desktop,1
1341,publishing,1
1342,impressionism,5
1343,prelude,1
1344,afternoon,4
1345,faun,1
1346,metronome,2
1347,ragtime,3
1348,skittish,1
1349,mutton,3
1350,fettle,1
1351,latter,2
1352,flattery,1
1353,canaveral,5
1354,augustine,6
1355,everglades,8
1356,pensacola,3
1357,coconut,4
1358,grove,1
1359,conditioner,3
1360,wax,5
1361,terry,6
1362,secret,15
1363,loofah,1
1364,botswana,5
1365,kink,5
1366,doubt,6
1367,band,19
1368,rattlesnake,2
1369,land,19
1370,barn,4
1371,owl,11
1372,hooter,1
1373,gettysburg,11
1374,beau,4
1375,geste,1
1376,thermopylae,3
1377,gallipoli,4
1378,hacksaw,1
1379,ridge,15
1380,leakey,5
1381,maria,20
1382,calla,4
1383,guatemala,10
1384,golda,6
1385,meir,6
1386,monaco,18
1387,observer,1
1388,bias,3
1389,oral,6
1390,oedipus,7
1391,complex,3
1392,object,5
1393,permanence,1
1394,ocd,1
1395,hypothesis,1
1396,appellation,1
1397,semidetached,1
1398,constituent,1
1399,julien,1
1400,crime,11
1401,bat,21
1402,juneau,6
1403,augusta,7
1404,nashville,9
1405,charleston,7
1406,harrisburg,7
1407,indianapolis,11
1408,cheesecake,1
1409,meringue,4
1410,bundt,1
1411,cake,19
1412,velvet,6
1413,marzipan,2
1414,austen,10
1415,fitzgerald,17
1416,dan,8
1417,cormac,7
1418,exorcist,6
1419,pay,5
1420,dirt,2
1421,entropy,2
1422,fatty,2
1423,hurricane,10
1424,medium,8
1425,sanitarium,1
1426,plectrum,1
1427,momentum,3
1428,horseshoeing,1
1429,arrow,9
1430,auctioneering,1
1431,milkman,1
1432,roof,15
1433,heimlich,3
1434,hill,35
1435,hadrian,5
1436,glastonbury,1
1437,augustus,7
1438,druid,3
1439,julius,19
1440,russell,15
1441,tennessee,29
1442,ryan,23
1443,lochte,2
1444,cube,7
1445,bog,4
1446,bonnet,3
1447,labor,24
1448,jordan,26
1449,jay,16
1450,z,8
1451,beyoncé,3
1452,nicki,5
1453,minaj,5
1454,jennifer,31
1455,lopez,13
1456,liz,2
1457,christmas,32
1458,toledo,7
1459,seurat,7
1460,roethlisberger,3
1461,boehner,1
1462,tenable,1
1463,tendinitis,1
1464,tennis,13
1465,tenacity,1
1466,tenant,2
1467,malala,5
1468,spartacus,6
1469,cheese,12
1470,commando,1
1471,domain,4
1472,cadmium,1
1473,modicum,1
1474,imam,3
1475,nathaniel,5
1476,hawthorne,5
1477,joad,2
1478,legree,2
1479,aesop,3
1480,caterpillar,7
1481,basque,7
1482,aborigine,3
1483,ra,4
1484,sol,2
1485,aztec,10
1486,yellow,36
1487,guantánamo,2
1488,guam,8
1489,rough,6
1490,rider,15
1491,blind,11
1492,sopt,1
1493,spot,9
1494,dalmatian,4
1495,twister,7
1496,vienna,13
1497,canberra,6
1498,search,7
1499,thing,27
1500,past,5
1501,shanghai,5
1502,small,11
1503,intestine,3
1504,antelope,3
1505,apron,3
1506,pink,21
1507,wealth,3
1508,nation,33
1509,miracle,9
1510,agreement,5
1511,maltese,8
1512,falcon,14
1513,wonderful,6
1514,pinocchio,8
1515,angola,4
1516,tunisia,6
1517,algeria,16
1518,moyers,2
1519,gate,20
1520,hickok,3
1521,home,36
1522,roller,6
1523,epsom,2
1524,down,2
1525,demolition,1
1526,scout,6
1527,stud,3
1528,eohippus,1
1529,blaze,1
1530,prince,56
1531,todd,9
1532,commonwealth,7
1533,boone,7
1534,morehead,1
1535,mammoth,10
1536,cave,7
1537,clinton,38
1538,bush,35
1539,june,12
1540,gemini,14
1541,aries,4
1542,taurus,7
1543,virgo,6
1544,scorpio,6
1545,balance,4
1546,keds,1
1547,reebok,2
1548,converse,3
1549,meager,2
1550,meter,10
1551,meat,10
1552,median,3
